month_and_year,gas_price,,,
2014 February,3.305,,,
2014 March,3.474,,,
2014 April,3.59,,,
2014 May,3.601,,,
2014 June,3.626,,,
2014 July,3.539,,,
2014 August,3.425,,,
2014 September,3.354,,,
2014 October,3.12,,,
2014 November,2.875,,,
2014 December,2.488,,,
2015 January,2.046,,,
2015 February,2.152,,,
2015 March,2.352,,,
2015 April,2.369,,,
2015 May,2.578,,,
2015 June,2.7,,,
2015 July,2.666,,,
2015 August,2.522,,,
2015 September,2.275,,,
2015 October,2.23,,,
2015 November,2.088,,,
2015 December,1.946,,,
2016 January,1.843,,,
2016 February,1.681,,,
2016 March,1.895,,,
2016 April,2.027,,,
2016 May,2.199,,,
2016 June,2.303,,,
2016 July,2.157,,,
2016 August,2.119,,,
2016 September,2.161,,,
2016 October,2.186,,,
2016 November,2.105,,,
2016 December,2.192,,,
2017 January,2.285,,,
2017 February,2.227,,,
2017 March,2.243,,,
2017 April,2.34,,,
2017 May,2.303,,,
2017 June,2.257,,,
2017 July,2.211,,,
2017 August,2.297,,,
2017 September,2.57,,,
2017 October,2.43,,,
2017 November,2.474,,,
2017 December,2.388,,,
2018 January,2.467,,,
